MIN=0	0	0	0	0	0
MAX=50	10	10	10	70	1
SCALE=50	5	5	5	10	0.5
DEC=1	2	2	2	2	0
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V	"Relay" R_1
16.999	2.68	30.75	2.68	30.75	0
17.099	2.68	30.9	2.68	30.9	0
17.199	2.53	31.1	2.53	31.1	0
17.299	2.28	31.25	2.28	31.25	0
17.399	1.975	31.45	1.975	31.45	0
17.499	1.66	31.65	1.66	31.65	0
17.599	1.345	31.8	1.345	31.8	0
17.699	1.065	32	1.065	32	0
17.8	0.84	32.15	0.84	32.15	0
17.899	0.645	32.35	0.645	32.35	0
17.999	0.5	32.55	0.5	32.55	0
18.099	0.41	32.75	0.41	32.75	0
18.199	0.37	32.9	0.37	32.9	0
18.299	0.375	33.05	0.375	33.05	0
18.399	0.425	33.25	0.425	33.25	0
18.499	0.52	33.5	0.52	33.5	0
18.599	0.65	33.6	0.65	33.6	0
18.699	0.83	33.8	0.83	33.8	0
18.799	1.04	34	1.04	34	0
18.899	1.285	34.2	1.285	34.2	0
18.999	1.575	34.35	1.575	34.35	0
19.099	1.89	34.55	1.89	34.55	0
19.199	2.23	34.75	2.23	34.75	0
19.299	2.555	34.9	2.555	34.9	0
19.399	2.99	35.1	2.99	35.1	0
19.499	3.3	35.25	3.3	35.25	0
19.599	3.61	35.45	3.61	35.45	0
19.699	3.75	35.6	3.75	35.6	0
19.799	3.73	35.8	3.73	35.8	0
19.899	3.565	36	3.565	36	0
19.999	3.21	36.2	3.21	36.2	0
20.099	2.885	36.35	2.885	36.35	0
20.199	2.415	36.55	2.415	36.55	0
20.299	2.055	36.7	2.055	36.7	0
20.399	1.615	36.9	1.615	36.9	0
20.499	1.295	37.1	1.295	37.1	0
20.599	1.005	37.25	1.005	37.25	0
20.699	0.82	37.45	0.82	37.45	0
20.799	0.66	37.65	0.66	37.65	0
20.899	0.645	37.65	0.645	37.65	0
20.999	0.645	37.65	0.645	37.65	0
