MIN=0	0	0	0	0	0
MAX=50	10	10	10	70	1
SCALE=50	5	5	5	10	0.5
DEC=1	2	2	2	2	0
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V	"Relay" R_1
11.899	0.98	21.5	0.98	21.5	0
11.999	0.855	21.7	0.855	21.7	0
12.099	0.735	21.85	0.735	21.85	0
12.199	0.6	22.05	0.6	22.05	0
12.299	0.5	22.2	0.5	22.2	0
12.399	0.39	22.4	0.39	22.4	0
12.499	0.315	22.6	0.315	22.6	0
12.599	0.24	22.75	0.24	22.75	0
12.699	0.195	22.9	0.195	22.9	0
12.799	0.165	23.1	0.165	23.1	0
12.899	0.15	23.3	0.15	23.3	0
12.999	0.17	23.5	0.17	23.5	0
13.099	0.19	23.65	0.19	23.65	0
13.199	0.25	23.85	0.25	23.85	0
13.299	0.31	24.05	0.31	24.05	0
13.399	0.405	24.2	0.405	24.2	0
13.499	0.505	24.4	0.505	24.4	0
13.599	0.63	24.55	0.63	24.55	0
13.699	0.765	24.75	0.765	24.75	0
13.799	0.925	24.95	0.925	24.95	0
13.899	1.095	25.15	1.095	25.15	0
13.999	1.29	25.3	1.29	25.3	0
14.099	1.485	25.5	1.485	25.5	0
14.199	1.66	25.65	1.66	25.65	0
14.299	1.78	25.85	1.78	25.85	0
14.399	1.8	26.05	1.8	26.05	0
14.499	1.71	26.2	1.71	26.2	0
14.599	1.535	26.4	1.535	26.4	0
14.699	1.33	26.6	1.33	26.6	0
14.799	1.11	26.75	1.11	26.75	0
14.899	0.9	26.95	0.9	26.95	0
14.999	0.71	27.1	0.71	27.1	0
15.099	0.545	27.3	0.545	27.3	0
15.199	0.42	27.45	0.42	27.45	0
15.299	0.335	27.65	0.335	27.65	0
15.399	0.265	27.85	0.265	27.85	0
15.499	0.24	28	0.24	28	0
15.599	0.24	28.2	0.24	28.2	0
15.699	0.27	28.4	0.27	28.4	0
15.799	0.335	28.55	0.335	28.55	0
15.899	0.42	28.7	0.42	28.7	0
15.999	0.55	28.9	0.55	28.9	0
16.099	0.675	29.1	0.675	29.1	0
16.199	0.865	29.3	0.865	29.3	0
16.299	1.045	29.45	1.045	29.45	0
16.399	1.28	29.65	1.28	29.65	0
16.499	1.485	29.8	1.485	29.8	0
16.599	1.79	30	1.79	30	0
16.699	2.025	30.2	2.025	30.2	0
16.799	2.325	30.35	2.325	30.35	0
16.899	2.52	30.5	2.52	30.5	0
