# Strom: 3.57 A
# Magnetfeld: -366 mT
# Schnitt bei (722,485)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;1507
2;1388
3;1270
4;1185
5;1101
6;1044
7;988
8;947
9;906
10;885
11;864
12;863
13;862
14;824
15;786
16;779
17;773
18;794
19;815
20;833
21;851
22;872
23;893
24;962
25;1032
26;1089
27;1146
28;1266
29;1387
30;1524
31;1661
32;1711
33;1762
34;1823
35;1885
36;1889
37;1893
38;1900
39;1907
40;2036
41;2166
42;2374
43;2583
44;2688
45;2794
46;2868
47;2943
48;2836
49;2730
50;2612
51;2495
52;2427
53;2359
54;2371
55;2384
56;2426
57;2468
58;2474
59;2481
60;2444
61;2408
62;2284
63;2160
64;2023
65;1887
66;1830
67;1774
68;1651
69;1529
70;1430
71;1332
72;1283
73;1235
74;1189
75;1143
76;1103
77;1063
78;1066
79;1070
80;1040
81;1010
82;988
83;966
84;982
85;999
86;1013
87;1028
88;1037
89;1046
90;1080
91;1115
92;1180
93;1246
94;1348
95;1450
96;1545
97;1640
98;1761
99;1882
100;2001
101;2120
102;2193
103;2266
104;2298
105;2330
106;2311
107;2293
108;2319
109;2346
110;2433
111;2521
112;2595
113;2670
114;2845
115;3021
116;3137
117;3254
118;3290
119;3327
120;3343
121;3360
122;3244
123;3129
124;2979
125;2830
126;2824
127;2819
128;2708
129;2597
130;2590
131;2583
132;2614
133;2646
134;2649
135;2652
136;2541
137;2430
138;2309
139;2188
140;2071
141;1955
142;1886
143;1818
144;1699
145;1580
146;1485
147;1390
148;1350
149;1310
150;1247
151;1185
152;1160
153;1135
154;1089
155;1043
156;1012
157;981
158;981
159;981
160;960
161;939
162;956
163;973
164;938
165;904
166;932
167;961
168;950
169;939
170;952
171;966
172;999
173;1032
174;1037
175;1043
176;1068
177;1094
178;1167
179;1241
180;1346
181;1452
182;1550
183;1649
184;1748
185;1847
186;1905
187;1964
188;2038
189;2113
190;2144
191;2175
192;2224
193;2273
194;2271
195;2269
196;2243
197;2218
198;2263
199;2309
200;2419
201;2530
202;2642
203;2754
204;2867
205;2981
206;3075
207;3170
208;3251
209;3332
210;3399
211;3467
212;3455
213;3444
214;3285
215;3127
216;3100
217;3074
218;3008
219;2943
220;2890
221;2837
222;2851
223;2866
224;2854
225;2843
226;2862
227;2881
228;2853
229;2826
230;2851
231;2876
232;2876
233;2877
234;2797
235;2717
236;2621
237;2526
238;2445
239;2364
240;2310
241;2257
242;2202
243;2147
244;2013
245;1880
246;1830
247;1780
248;1684
249;1589
250;1565
251;1541
252;1484
253;1427
254;1434
255;1441
256;1369
257;1297
258;1258
259;1219
260;1178
261;1137
262;1156
263;1175
264;1148
265;1121
266;1115
267;1110
268;1098
269;1086
270;1056
271;1026
272;1056
273;1086
274;1068
275;1050
276;1059
277;1068
278;1062
279;1057
280;1063
281;1070
282;1069
283;1068
284;1065
285;1063
286;1097
287;1132
288;1138
289;1144
290;1157
291;1170
292;1201
293;1232
294;1258
295;1285
296;1327
297;1370
298;1424
299;1479
300;1559
301;1640
302;1684
303;1729
304;1803
305;1878
306;1937
307;1996
308;2019
309;2042
310;2063
311;2084
312;2131
313;2178
314;2223
315;2268
316;2250
317;2233
318;2259
319;2286
320;2282
321;2279
322;2301
323;2324
324;2308
325;2293
326;2338
327;2384
328;2348
329;2313
330;2314
331;2315
332;2353
333;2391
334;2357
335;2324
336;2383
337;2442
338;2561
339;2681
340;2702
341;2723
342;2856
343;2990
344;3007
345;3025
346;3092
347;3160
348;3221
349;3283
350;3294
351;3305
352;3338
353;3371
354;3382
355;3393
356;3401
357;3409
358;3367
359;3325
360;3292
361;3260
362;3236
363;3212
364;3176
365;3140
366;3134
367;3129
368;3125
369;3121
370;3033
371;2945
372;2943
373;2941
374;2883
375;2826
376;2831
377;2837
378;2849
379;2861
380;2846
381;2832
382;2877
383;2923
384;2881
385;2839
386;2878
387;2917
388;2896
389;2876
390;2903
391;2930
392;2941
393;2952
394;2932
395;2912
396;2965
397;3018
398;3042
399;3067
400;3069
401;3072
402;3071
403;3070
404;3065
405;3061
406;3059
407;3058
408;3077
409;3096
410;3110
411;3125
412;3066
413;3008
414;3029
415;3050
416;3052
417;3054
418;3056
419;3058
420;3037
421;3016
422;2999
423;2983
424;2970
425;2958
426;2951
427;2945
428;2918
429;2892
430;2888
431;2885
432;2848
433;2812
434;2765
435;2719
436;2724
437;2730
438;2722
439;2715
440;2694
441;2674
442;2634
443;2595
444;2607
445;2619
446;2616
447;2613
448;2548
449;2484
450;2473
451;2462
452;2435
453;2408
454;2410
455;2413
456;2415
457;2417
458;2409
459;2402
460;2382
461;2362
462;2310
463;2259
464;2288
465;2317
466;2237
467;2158
468;2152
469;2147
470;2159
471;2171
472;2150
473;2129
474;2166
475;2204
476;2137
477;2071
478;2056
479;2042
480;2056
481;2071
482;2052
483;2033
484;1983
485;1933
486;1932
487;1931
488;1938
489;1945
490;1940
491;1936
492;1958
493;1980
494;1992
495;2005
496;2006
497;2007
498;1984
499;1962
500;1957
501;1953
502;1967
503;1982
504;1975
505;1969
506;2008
507;2047
508;2060
509;2073
510;2059
511;2046
512;2071
513;2097
514;2111
515;2126
516;2127
517;2129
518;2165
519;2202
520;2219
521;2237
522;2234
523;2231
524;2282
525;2333
526;2364
527;2395
528;2409
529;2424
530;2417
531;2411
532;2433
533;2455
534;2522
535;2590
536;2633
537;2677
538;2674
539;2672
540;2732
541;2792
542;2817
543;2843
544;2844
545;2845
546;2925
547;3005
548;3067
549;3130
550;3084
551;3039
552;3077
553;3116
554;3118
555;3120
556;3191
557;3263
558;3278
559;3294
560;3278
561;3262
562;3261
563;3260
564;3295
565;3331
566;3280
567;3229
568;3223
569;3218
570;3207
571;3196
572;3237
573;3278
574;3311
575;3345
576;3311
577;3278
578;3266
579;3254
580;3246
581;3238
582;3259
583;3280
584;3258
585;3236
586;3246
587;3256
588;3282
589;3309
590;3418
591;3527
592;3479
593;3431
594;3494
595;3558
596;3598
597;3638
598;3713
599;3788
600;3835
601;3882
602;3928
603;3975
604;4020
605;4066
606;4080
607;4095
608;4095
609;4095
610;4095
611;4095
612;4095
613;4095
614;4095
615;4095
616;4095
617;4095
618;4025
619;3955
620;3878
621;3802
622;3759
623;3717
624;3616
625;3516
626;3405
627;3294
628;3257
629;3220
630;3107
631;2994
632;2946
633;2899
634;2888
635;2877
636;2769
637;2661
638;2616
639;2572
640;2559
641;2546
642;2539
643;2532
644;2522
645;2513
646;2447
647;2382
648;2431
649;2481
650;2440
651;2399
652;2393
653;2388
654;2301
655;2215
656;2179
657;2144
658;2105
659;2066
660;1987
661;1909
662;1841
663;1774
664;1700
665;1627
666;1545
667;1463
668;1421
669;1379
670;1302
671;1225
672;1190
673;1155
674;1139
675;1124
676;1090
677;1057
678;1078
679;1099
680;1058
681;1017
682;1011
683;1006
684;959
685;913
686;916
687;919
688;929
689;939
690;928
691;917
692;913
693;910
694;915
695;921
696;901
697;881
698;886
699;891
700;922
701;953
702;948
703;944
704;979
705;1015
706;1024
707;1033
708;1043
709;1053
710;1079
711;1106
712;1146
713;1186
714;1220
715;1254
716;1297
717;1341
718;1420
719;1499
720;1551
721;1603
722;1691
723;1780
724;1899
725;2018
726;2136
727;2255
728;2351
729;2448
730;2576
731;2704
732;2799
733;2894
734;2975
735;3056
736;3157
737;3258
738;3259
739;3260
740;3281
741;3302
742;3268
743;3234
744;3197
745;3160
746;3241
747;3322
748;3329
749;3336
750;3395
751;3454
752;3627
753;3800
754;3905
755;4010
756;4052
757;4095
758;4095
759;4095
760;4088
761;4081
762;3942
763;3804
764;3696
765;3589
766;3356
767;3123
768;2995
769;2868
770;2847
771;2826
772;2786
773;2746
774;2784
775;2823
776;2829
777;2836
778;2816
779;2796
780;2741
781;2686
782;2555
783;2424
784;2294
785;2164
786;2023
787;1882
788;1744
789;1607
790;1512
791;1418
792;1359
793;1301
794;1260
795;1219
796;1172
797;1126
798;1136
799;1146
800;1087
801;1028
802;1028
803;1028
804;1020
805;1013
806;1035
807;1057
808;1083
809;1110
810;1120
811;1130
812;1161
813;1192
814;1183
815;1175
816;1227
817;1279
818;1337
819;1396
820;1427
821;1459
822;1569
823;1680
824;1778
825;1876
826;1971
827;2066
828;2235
829;2404
830;2496
831;2588
832;2693
833;2799
834;2903
835;3007
836;3001
837;2996
838;2925
839;2854
840;2845
841;2836
842;2826
843;2817
844;2929
845;3041
846;3181
847;3322
848;3407
849;3493
850;3555
851;3618
852;3540
853;3462
854;3265
855;3069
856;2821
