# Strom: 3.17 A
# Magnetfeld: -330 mT
# Schnitt bei (722,485)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;1536
2;1418
3;1301
4;1261
5;1221
6;1140
7;1059
8;1003
9;948
10;932
11;917
12;902
13;888
14;883
15;879
16;867
17;855
18;859
19;864
20;873
21;882
22;922
23;962
24;981
25;1001
26;1060
27;1119
28;1255
29;1392
30;1506
31;1621
32;1762
33;1904
34;1975
35;2047
36;2097
37;2147
38;2170
39;2193
40;2335
41;2477
42;2624
43;2772
44;2850
45;2928
46;3009
47;3090
48;2985
49;2881
50;2791
51;2701
52;2640
53;2579
54;2577
55;2575
56;2531
57;2488
58;2459
59;2431
60;2315
61;2200
62;2097
63;1995
64;1856
65;1718
66;1608
67;1499
68;1382
69;1266
70;1200
71;1135
72;1100
73;1066
74;1030
75;995
76;947
77;899
78;885
79;871
80;860
81;850
82;855
83;861
84;872
85;884
86;901
87;919
88;886
89;853
90;897
91;941
92;957
93;973
94;1008
95;1043
96;1136
97;1230
98;1309
99;1388
100;1497
101;1607
102;1760
103;1913
104;1955
105;1998
106;2018
107;2038
108;2068
109;2098
110;2145
111;2193
112;2259
113;2326
114;2506
115;2686
116;2794
117;2903
118;2945
119;2987
120;2985
121;2983
122;2872
123;2761
124;2684
125;2608
126;2545
127;2482
128;2463
129;2444
130;2508
131;2572
132;2532
133;2492
134;2425
135;2359
136;2287
137;2215
138;2080
139;1945
140;1847
141;1749
142;1698
143;1647
144;1556
145;1465
146;1385
147;1306
148;1243
149;1181
150;1184
151;1188
152;1137
153;1086
154;1087
155;1088
156;1044
157;1001
158;987
159;973
160;987
161;1002
162;965
163;928
164;952
165;977
166;959
167;942
168;957
169;973
170;985
171;997
172;1009
173;1021
174;1063
175;1106
176;1122
177;1139
178;1157
179;1175
180;1239
181;1303
182;1414
183;1525
184;1613
185;1701
186;1797
187;1893
188;2005
189;2118
190;2198
191;2279
192;2307
193;2335
194;2363
195;2391
196;2414
197;2437
198;2531
199;2626
200;2661
201;2697
202;2808
203;2919
204;3046
205;3174
206;3296
207;3418
208;3461
209;3505
210;3518
211;3531
212;3467
213;3403
214;3325
215;3247
216;3186
217;3125
218;3032
219;2939
220;2907
221;2876
222;2836
223;2797
224;2792
225;2788
226;2818
227;2848
228;2756
229;2664
230;2661
231;2659
232;2554
233;2450
234;2355
235;2260
236;2149
237;2038
238;1965
239;1893
240;1767
241;1641
242;1593
243;1545
244;1520
245;1496
246;1418
247;1341
248;1282
249;1223
250;1171
251;1119
252;1120
253;1121
254;1063
255;1006
256;1009
257;1012
258;996
259;981
260;954
261;928
262;908
263;888
264;895
265;902
266;900
267;899
268;879
269;859
270;853
271;848
272;859
273;871
274;852
275;833
276;848
277;864
278;839
279;815
280;833
281;851
282;855
283;859
284;881
285;904
286;907
287;910
288;896
289;882
290;921
291;961
292;976
293;992
294;1017
295;1043
296;1095
297;1148
298;1169
299;1190
300;1224
301;1259
302;1317
303;1376
304;1424
305;1472
306;1531
307;1590
308;1712
309;1834
310;1897
311;1960
312;1970
313;1980
314;2064
315;2149
316;2206
317;2264
318;2306
319;2348
320;2414
321;2481
322;2491
323;2501
324;2488
325;2475
326;2517
327;2559
328;2589
329;2619
330;2674
331;2730
332;2740
333;2750
334;2808
335;2866
336;2901
337;2937
338;3007
339;3078
340;3141
341;3205
342;3247
343;3289
344;3417
345;3545
346;3590
347;3636
348;3651
349;3666
350;3727
351;3789
352;3840
353;3891
354;3916
355;3942
356;3919
357;3897
358;3903
359;3910
360;3892
361;3875
362;3804
363;3733
364;3745
365;3758
366;3661
367;3564
368;3525
369;3487
370;3475
371;3464
372;3439
373;3414
374;3403
375;3393
376;3292
377;3192
378;3197
379;3203
380;3213
381;3223
382;3209
383;3196
384;3192
385;3189
386;3159
387;3129
388;3100
389;3072
390;3111
391;3150
392;3126
393;3103
394;3072
395;3041
396;3047
397;3054
398;3018
399;2983
400;2960
401;2937
402;2963
403;2990
404;2937
405;2885
406;2842
407;2799
408;2766
409;2734
410;2714
411;2695
412;2695
413;2695
414;2628
415;2561
416;2532
417;2504
418;2496
419;2488
420;2473
421;2459
422;2458
423;2457
424;2393
425;2330
426;2313
427;2297
428;2290
429;2284
430;2242
431;2200
432;2141
433;2082
434;2100
435;2118
436;2078
437;2038
438;2031
439;2024
440;1991
441;1958
442;1984
443;2011
444;1988
445;1965
446;1916
447;1867
448;1889
449;1911
450;1917
451;1924
452;1883
453;1842
454;1863
455;1884
456;1863
457;1842
458;1829
459;1816
460;1792
461;1769
462;1779
463;1789
464;1795
465;1802
466;1787
467;1772
468;1740
469;1709
470;1714
471;1720
472;1715
473;1711
474;1729
475;1747
476;1752
477;1758
478;1790
479;1822
480;1772
481;1723
482;1752
483;1782
484;1786
485;1791
486;1834
487;1878
488;1832
489;1787
490;1773
491;1760
492;1792
493;1825
494;1823
495;1822
496;1859
497;1896
498;1869
499;1843
500;1835
501;1827
502;1863
503;1900
504;1896
505;1893
506;1911
507;1929
508;1952
509;1975
510;1998
511;2022
512;2026
513;2031
514;2033
515;2035
516;2068
517;2102
518;2107
519;2113
520;2147
521;2182
522;2204
523;2226
524;2210
525;2195
526;2208
527;2222
528;2271
529;2320
530;2365
531;2411
532;2390
533;2370
534;2428
535;2486
536;2523
537;2561
538;2543
539;2526
540;2568
541;2610
542;2624
